"Index_Name","Date","Value_Without_Dividends__USD_","Value_With_Dividends__USD_"
"Russell 3000®","12/31/2019",3476.130016,10131.841557
"Russell 3000®","12/30/2019",3465.864606,10101.222611
"Russell 3000®","12/27/2019",3485.298985,10155.674892
"Russell 3000®","12/26/2019",3487.135982,10160.833483
"Russell 3000®","12/25/2019",3471.329057,10113.852255
"Russell 3000®","12/24/2019",3471.329057,10113.852255
"Russell 3000®","12/23/2019",3471.033309,10112.318361
"Russell 3000®","12/20/2019",3468.003627,10103.477789
"Russell 3000®","12/19/2019",3451.155122,10053.938737
"Russell 3000®","12/18/2019",3435.793429,10008.522095
"Russell 3000®","12/17/2019",3436.140836,10008.793417
"Russell 3000®","12/16/2019",3433.995363,10002.4646
"Russell 3000®","12/13/2019",3409.0778,9929.579762
"Russell 3000®","12/12/2019",3410.06067,9930.752571
"Russell 3000®","12/11/2019",3382.44282,9848.883315
"Russell 3000®","12/10/2019",3374.135028,9824.529686
"Russell 3000®","12/09/2019",3377.522466,9834.086332
"Russell 3000®","12/06/2019",3388.304082,9864.730479
"Russell 3000®","12/05/2019",3357.664621,9775.108283
"Russell 3000®","12/04/2019",3353.47815,9760.527089
"Russell 3000®","12/03/2019",3333.132334,9700.39862
"Russell 3000®","12/02/2019",3353.568479,9759.557878
"Russell 3000®","11/29/2019",3383.910035,9847.506572
"Russell 3000®","11/28/2019",3398.925359,9889.154167
"Russell 3000®","11/27/2019",3398.925359,9889.154167
"Russell 3000®","11/26/2019",3384.158078,9844.89679
"Russell 3000®","11/25/2019",3376.319798,9821.912458
"Russell 3000®","11/22/2019",3347.055852,9735.74068
"Russell 3000®","11/21/2019",3339.511103,9713.660134
"Russell 3000®","11/20/2019",3346.614894,9733.780863
"Russell 3000®","11/19/2019",3357.900284,9764.988879
"Russell 3000®","11/18/2019",3357.573771,9763.486833
"Russell 3000®","11/15/2019",3356.46343,9760.11654
"Russell 3000®","11/14/2019",3331.289619,9685.328025
"Russell 3000®","11/13/2019",3328.277044,9674.23056
"Russell 3000®","11/12/2019",3326.96677,9670.033927
"Russell 3000®","11/11/2019",3322.244549,9655.762482
"Russell 3000®","11/08/2019",3327.69388,9671.600401
"Russell 3000®","11/07/2019",3318.273333,9642.658348
"Russell 3000®","11/06/2019",3309.150699,9612.03646
"Russell 3000®","11/05/2019",3309.436812,9612.227431
"Russell 3000®","11/04/2019",3312.979498,9622.446253
"Russell 3000®","11/01/2019",3300.727389,9586.710545
"Russell 3000®","10/31/2019",3266.621419,9486.892706
"Russell 3000®","10/30/2019",3278.430311,9520.467801
"Russell 3000®","10/29/2019",3269.224157,9492.922524
"Russell 3000®","10/28/2019",3271.115047,9498.305917
"Russell 3000®","10/25/2019",3252.138157,9443.196672
"Russell 3000®","10/24/2019",3237.997368,9401.954027
"Russell 3000®","10/23/2019",3230.234456,9379.320988
"Russell 3000®","10/22/2019",3221.894197,9354.825598
"Russell 3000®","10/21/2019",3233.534834,9388.365752
"Russell 3000®","10/18/2019",3211.263773,9323.45806
"Russell 3000®","10/17/2019",3224.281753,9361.042853
"Russell 3000®","10/16/2019",3212.786589,9327.027291
"Russell 3000®","10/15/2019",3220.255314,9348.174591
"Russell 3000®","10/14/2019",3188.772899,9256.77082
"Russell 3000®","10/11/2019",3193.909958,9271.683321
"Russell 3000®","10/10/2019",3156.713074,9162.893733
"Russell 3000®","10/09/2019",3138.072473,9108.530633
"Russell 3000®","10/08/2019",3110.625621,9026.433841
"Russell 3000®","10/07/2019",3161.25889,9173.142616
"Russell 3000®","10/04/2019",3174.156685,9210.506554
"Russell 3000®","10/03/2019",3131.21613,9085.846726
"Russell 3000®","10/02/2019",3106.520257,9012.264777
"Russell 3000®","10/01/2019",3159.922697,9167.025537
"Russell 3000®","09/30/2019",3201.396595,9286.973295
"Russell 3000®","09/27/2019",3185.422652,9240.113894
"Russell 3000®","09/26/2019",3204.769197,9294.148384
"Russell 3000®","09/25/2019",3215.167336,9323.628932
"Russell 3000®","09/24/2019",3194.013847,9262.260161
"Russell 3000®","09/23/2019",3224.393787,9349.736884
"Russell 3000®","09/20/2019",3224.57112,9350.250734
"Russell 3000®","09/19/2019",3239.205488,9392.294921
"Russell 3000®","09/18/2019",3240.13209,9394.431249
"Russell 3000®","09/17/2019",3241.455978,9398.179469
"Russell 3000®","09/16/2019",3234.465646,9377.785623
"Russell 3000®","09/13/2019",3240.346639,9394.56796
"Russell 3000®","09/12/2019",3242.96249,9399.743284
"Russell 3000®","09/11/2019",3235.142082,9375.627407
"Russell 3000®","09/10/2019",3207.948912,9296.338812
"Russell 3000®","09/09/2019",3204.487384,9286.061784
"Russell 3000®","09/06/2019",3203.079325,9281.310356
"Russell 3000®","09/05/2019",3201.778076,9277.21592
"Russell 3000®","09/04/2019",3159.93133,9154.046407
"Russell 3000®","09/03/2019",3126.597295,9056.787623
"Russell 3000®","09/02/2019",3150.968296,9126.790294
"Russell 3000®","08/30/2019",3150.968296,9126.790294
"Russell 3000®","08/29/2019",3149.466038,9121.2598
"Russell 3000®","08/28/2019",3108.945479,9002.36779
"Russell 3000®","08/27/2019",3088.365837,8942.481284
"Russell 3000®","08/26/2019",3101.730109,8981.122445
"Russell 3000®","08/23/2019",3069.218976,8886.028797
"Russell 3000®","08/22/2019",3151.266856,9123.476197
"Russell 3000®","08/21/2019",3153.389617,9129.42867
"Russell 3000®","08/20/2019",3127.496724,9054.091858
"Russell 3000®","08/19/2019",3151.36405,9122.583166
"Russell 3000®","08/16/2019",3115.462512,9018.113833
"Russell 3000®","08/15/2019",3068.805529,8881.763166
"Russell 3000®","08/14/2019",3063.412245,8864.635675
"Russell 3000®","08/13/2019",3155.522174,9128.729181
"Russell 3000®","08/12/2019",3111.514879,9001.095065
"Russell 3000®","08/09/2019",3150.463191,9112.366837
"Russell 3000®","08/08/2019",3173.816117,9178.469069
"Russell 3000®","08/07/2019",3113.960779,9003.347761
"Russell 3000®","08/06/2019",3110.773996,8993.866879
"Russell 3000®","08/05/2019",3071.106537,8878.579962
"Russell 3000®","08/02/2019",3165.784683,9151.897896
"Russell 3000®","08/01/2019",3191.837203,9226.409663
"Russell 3000®","07/31/2019",3223.366615,9316.71466
"Russell 3000®","07/30/2019",3257.149725,9414.05393
"Russell 3000®","07/29/2019",3261.25055,9424.917269
"Russell 3000®","07/26/2019",3268.97833,9447.206446
"Russell 3000®","07/25/2019",3243.426098,9373.199274
"Russell 3000®","07/24/2019",3263.359693,9430.732287
"Russell 3000®","07/23/2019",3243.492994,9372.990372
"Russell 3000®","07/22/2019",3221.530672,9309.384212
"Russell 3000®","07/19/2019",3213.884114,9287.089339
"Russell 3000®","07/18/2019",3233.480373,9343.382787
"Russell 3000®","07/17/2019",3222.158019,9309.811893
"Russell 3000®","07/16/2019",3242.368081,9368.086775
"Russell 3000®","07/15/2019",3252.326861,9396.624616
"Russell 3000®","07/12/2019",3253.031213,9398.593984
"Russell 3000®","07/11/2019",3236.706764,9350.653266
"Russell 3000®","07/10/2019",3231.588115,9335.77073
"Russell 3000®","07/09/2019",3218.489402,9297.821781
"Russell 3000®","07/08/2019",3213.077282,9279.883849
"Russell 3000®","07/05/2019",3230.486055,9330.024798
"Russell 3000®","07/04/2019",3234.57695,9341.002644
"Russell 3000®","07/03/2019",3234.57695,9341.002644
"Russell 3000®","07/02/2019",3209.473186,9266.560145
"Russell 3000®","07/01/2019",3202.879389,9247.165801
"Russell 3000®","06/28/2019",3179.732858,9180.249967
"Russell 3000®","06/27/2019",3158.752371,9119.082842
"Russell 3000®","06/26/2019",3141.161161,9066.159063
"Russell 3000®","06/25/2019",3145.209245,9077.829294
"Russell 3000®","06/24/2019",3174.544531,9162.469292
"Russell 3000®","06/21/2019",3184.406855,9190.887795
"Russell 3000®","06/20/2019",3191.645509,9211.282316
"Russell 3000®","06/19/2019",3163.499294,9129.317529
"Russell 3000®","06/18/2019",3153.22792,9099.614008
"Russell 3000®","06/17/2019",3122.143259,9009.636226
"Russell 3000®","06/14/2019",3117.538895,8996.253148
"Russell 3000®","06/13/2019",3125.537724,9018.256419
"Russell 3000®","06/12/2019",3111.061831,8973.767038
"Russell 3000®","06/11/2019",3116.744333,8989.944868
"Russell 3000®","06/10/2019",3119.048376,8996.149538
"Russell 3000®","06/07/2019",3103.553544,8951.402373
"Russell 3000®","06/06/2019",3073.000602,8862.486834
"Russell 3000®","06/05/2019",3057.048275,8814.322953
"Russell 3000®","06/04/2019",3034.591205,8748.654413
"Russell 3000®","06/03/2019",2968.79264,8558.570297
"Russell 3000®","05/31/2019",2975.487821,8577.775208
"Russell 3000®","05/30/2019",3014.007492,8687.178575
"Russell 3000®","05/29/2019",3009.179866,8672.042893
"Russell 3000®","05/28/2019",3030.660262,8733.716953
"Russell 3000®","05/27/2019",3055.649023,8805.630219
"Russell 3000®","05/24/2019",3055.649023,8805.630219
"Russell 3000®","05/23/2019",3049.292952,8786.154056
"Russell 3000®","05/22/2019",3089.067773,8899.9579
"Russell 3000®","05/21/2019",3100.138303,8931.668701
"Russell 3000®","05/20/2019",3071.699604,8849.519803
"Russell 3000®","05/17/2019",3093.441984,8912.027808
"Russell 3000®","05/16/2019",3114.887361,8972.908905
"Russell 3000®","05/15/2019",3087.887271,8892.853945
"Russell 3000®","05/14/2019",3070.528216,8841.359449
"Russell 3000®","05/13/2019",3043.528436,8762.593418
"Russell 3000®","05/10/2019",3122.564029,8989.760865
"Russell 3000®","05/09/2019",3111.719386,8955.812941
"Russell 3000®","05/08/2019",3120.630738,8978.676454
